# 2017-12-07
# num_trials=1000
# using N_mut_list
# ngens=1
# wrap_attributes =false
# additive_error=false
# int_burn_in=125
# neutral=true
# ideal=1.0
# fit_slope=1.0
N,N_mut,mutation_stddev,num_attributes,fitness_mean,fitness_coef_var,attribute_mean,attribute_coef_var,fit_diff_neg_fract,fit_diff_neg_neutral,fit_diff_pos_neutral,fit_diff_pos_fract
6400,0.125,1.953125e-5,1,1.0,0.0,0.9986183551244611,0.0015174547045632006,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,1.0006063062211263,0.0015906353968800331,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,1.0003290934724145,0.0018631587336591388,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9964641160910314,0.0010920599668707489,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9975009612968674,0.0014117372423112255,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9987266445694688,0.0014214185818494304,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,1.0007298812635144,0.00105500264692171,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,1.0019552448985527,0.0022153476279966403,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9963837069609095,0.0008512395222811734,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.998052196767727,0.0015270200549824615,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,1.0015243289687603,0.0012145769543889771,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9986676657165805,0.0010521680498408043,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,1.0033179956973768,0.001054355287349904,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9998000538832735,0.001976935959676775,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.999255008357705,0.0008175727818120387,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.998409348625895,0.0019381309106363176,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9988745673595063,0.0010543250591127577,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,1.000020550431453,0.0024857845112839947,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,1.0001016625957064,0.0029789918050327955,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,1.0009787362286822,0.000753340342254052,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,1.0017402672913063,0.0026784957013382574,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,1.0012664292359985,0.0007496738708645386,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,1.003082832740669,0.0014675903591169033,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,1.0027976151193188,0.0011742613145786424,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,1.0000912961446813,0.0008735303862953621,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9999387238699486,0.0012066657060550094,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9948764121053513,0.001949124767245503,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.99708268949201,0.0011635363516073853,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.999983635971523,0.00214528572966858,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,1.0023083422543118,0.0010927625791512666,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9985331029073602,0.0006916807467743603,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9960568352458392,0.001798943199277857,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,1.002156341152577,0.0012766531241849863,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,1.000499456260948,0.0024446261435471157,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,1.0027459194893575,0.0008954061358033009,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,1.0004875372416309,0.0012996815298911342,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9948334524654056,0.0008317290472976577,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9986719762314461,0.0014995909547638293,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.994671901398149,0.002667584768286211,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9998273299225222,0.0013704182615746187,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9990611857933703,0.0012116692985008287,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9972644286813073,0.000921819694529977,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9995016070347477,0.0012741018588931406,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9965015409219617,0.0007178112398475011,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,1.006722410813624,0.0008074683306866869,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9997439068635973,0.0011510692598918383,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9999455233380711,0.0009791334655682572,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9997940218749253,0.000938543977073492,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,1.0000140685048882,0.00119988958253705,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9998679666481074,0.0016868168004044773,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9980780014433936,0.0009670323638957252,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9987425526305971,0.0008527389045129381,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9952031052938323,0.0010405374784112473,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9943517915062665,0.0008401962580060467,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9990449933992929,0.0011418373912244386,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9990948664410871,0.0007987150268675689,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9992270739979415,0.0017794841075623388,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9991163212477523,0.001227004610115217,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,1.0012577737338664,0.0013828944455104018,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,1.0020933374256822,0.0014761000288103041,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,1.0005187589908089,0.0016523335635637345,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,1.0022445585898954,0.0013442624957790803,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9986987413058473,0.001273396220823323,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,1.0016611386425116,0.001041106477570474,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,1.003395659293075,0.0032595636360061206,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,1.0001272988573089,0.001323997116301284,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,1.0022287304280848,0.001790180915691018,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,1.0031710530905587,0.0006135552191243812,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9998117652261383,0.0010717099530357563,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,1.0019498645799034,0.000970403705887323,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9975558758284836,0.0010949058670368433,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,1.0005509799962902,0.0011267305281706527,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.997097534689275,0.0016694541579465063,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,1.0005778243307055,0.0012614536004271594,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,1.000837047168283,0.0017418802096254092,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9981673801962094,0.0007875851499310801,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9977873319616993,0.0009927331343342117,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,1.0001154048538379,0.0022708294648723045,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9991974672845878,0.0006252927845322481,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9994597257751036,0.002062274266795557,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9961236707453694,0.0020472576527947547,0.0,0.0,1.0,0.0
