# 2017-09-13,,,,,,,,,,,,,,,,,,,,
# infinite_sites_model,,,,,,,,,,,,,,,,,,,,
#"# N_list=""""[25""",,50,25,50,100,200,400,800,1600,3200,"6400]""",,,,,,,,,
#"# mu_list=""""[0.01]""""""",,,,,,,,,,,,,,,,,,,,
# ngens=500000,,,,,,,,,,,,,,,,,,,,
# dfe=dfefixed,,,,,,,,,,,,,,,,,,,,
# dfe_str=dfe_fixed s = -0.0,,,,,,,,,,,,,,,,,,,,
# See s column for selection coefficient (concatenated in Excel),,,,,,,,,,,,,,,,,,,,
type,s,N,mu,num_extinct,num_fixed,num_adv_fixed,num_del_fixed,fraction_fixed,ave_extinct_time,ave_fixed_time,ave_extinct_selcoef,ave_fixed_selcoef,ave_all_selcoef,ave_innov_count,stderr_innov_count,ave_heteroz,stderr_heteroz,count_ratio,observed_heteroz_ratio,expected_heteroz_ratio
S1,-0.01,50,0.01,249778,1021,0,1021,0.004070989,7.117720536,111.9089128,0.99,0.99,0.99,9.235389947,5.08E-06,0.206249656,7.53E-08,0.878005657,0.964141756,0.836046586
S1,-0.01,100,0.01,500769,31,0,31,6.19E-05,7.604420401,196.8064516,0.99,0.99,0.99,11.45092387,3.69E-06,0.152130647,3.50E-08,0.607827185,0.805165399,0.686964715
S1,-0.01,200,0.01,999943,0,0,0,0,7.341037439,-1,0.99,-1,0.99,11.86921541,2.20E-06,0.094741844,1.41E-08,0.359655528,0.570526785,0.462685279
S1,-0.01,400,0.01,1999662,0,0,0,0,7.286798969,-1,0.99,-1,0.99,12.19102883,1.20E-06,0.054124768,4.68E-09,0.202983205,0.360553715,0.24932885
S1,-0.01,800,0.01,3997969,0,0,0,0,7.176810526,-1,0.99,-1,0.99,12.1859818,6.34E-07,0.028656724,1.39E-09,0.110257512,0.208803156,0.124999775
S1,-0.01,1600,0.01,7994644,0,0,0,0,7.158185905,-1,0.99,-1,0.99,12.23784877,3.24E-07,0.01483075,3.78E-10,0.061422184,0.118779545,0.0625
S1,-0.01,3200,0.01,16004737,0,0,0,0,7.152641933,-1,0.99,-1,0.99,12.30699232,1.64E-07,0.007572418,9.92E-11,0.033566733,0.066158506,0.03125
S1,-0.01,6400,0.01,32003751,0,0,0,0,7.135679065,-1,0.989999999,-1,0.989999999,12.2656838,1.04E-07,0.00380322,2.53E-11,0.01808752,0.035850176,0.015625
S1,-0.02,25,0.01,123561,1235,0,1235,0.009896151,5.712959591,52.51740891,0.98,0.98,0.98,5.354335975,6.07E-06,0.242082608,1.71E-07,0.869462039,0.971508737,0.836046586
S1,-0.02,50,0.01,249862,70,0,70,0.000280076,6.346987537,88.67142857,0.98,0.98,0.98,6.775784605,4.47E-06,0.180038247,8.20E-08,0.64417174,0.841613001,0.686964715
S1,-0.02,100,0.01,500632,0,0,0,0,6.047304207,-1,0.98,-1,0.98,7.049475554,2.73E-06,0.112478665,3.42E-08,0.37419364,0.59530365,0.462685279
S1,-0.02,200,0.01,999552,0,0,0,0,5.899963184,-1,0.98,-1,0.98,7.160563658,1.51E-06,0.063594619,1.17E-08,0.21697612,0.382961022,0.24932885
S1,-0.02,400,0.01,1999000,0,0,0,0,5.891841921,-1,0.98,-1,0.98,7.282637496,7.96E-07,0.034247857,3.46E-09,0.121257452,0.228143093,0.124999775
S1,-0.02,800,0.01,4003474,0,0,0,0,5.838752294,-1,0.98,-1,0.98,7.274191858,4.06E-07,0.017633644,9.46E-10,0.065816141,0.128485047,0.0625
S1,-0.02,1600,0.01,8002102,0,0,0,0,5.835881122,-1,0.98,-1,0.98,7.318182117,2.07E-07,0.009005373,2.50E-10,0.036730208,0.072124069,0.03125
S1,-0.02,3200,0.01,16002637,0,0,0,0,5.827100683,-1,0.98,-1,0.98,7.320847507,1.04E-07,0.004539677,6.40E-11,0.019967261,0.039662131,0.015625
S1,-0.02,6400,0.01,32002468,0,0,0,0,5.823046085,-1,0.98,-1,0.98,7.330252926,5.24E-08,0.002281693,1.62E-11,0.010809515,0.021507853,0.0078125
