# 2017-08-13
# infinite alleles model
# popsize_multiplier_list=[1]
# N_list=[25,50,100,200,400,800,1600,3200,6400]
# ngens=400000
# burn_in=2.0
# dfe=InfAlleles.dfe_neutral
# dfe_str=dfe_neutral
type,N,N_mu,expected_richness,average_richness,stderr_richness,expected_w_heteroz,w_heteroz,stderr_heteroz,IQV,stderr_IQV
N3,1600,1.0,13.911823300392623,13.093075,0.00503780518277952,0.6666666666666667,0.6661719952480396,0.00022909809619863522,0.7239937559574695,0.0002407760525529096
N3,3200,1.0,15.297180795851219,14.496,0.005443913719971271,0.6666666666666667,0.6543629490195357,0.00024645552279159384,0.70491153334581,0.000259031755014184
N3,6400,1.0,16.68300656560909,15.9657075,0.0059029508233747275,0.6666666666666667,0.6609004468120103,0.00023926661813279942,0.7069240129242621,0.0002499021472924313
N3,25,2.0,8.37535082253214,7.3262575,0.0029174890982814256,0.8,0.7558603599998528,0.0001627248261145484,0.8831924017233442,0.00015080562997545597
N3,50,2.0,10.89431416756967,9.6717925,0.0036875231981545165,0.8,0.7780426859999794,0.0001507604061365809,0.8729060064224464,0.00014484329006808156
N3,100,2.0,13.533831335352,12.1698825,0.004435010458136346,0.8,0.7885949535000106,0.00014535496862253734,0.8627516408371769,0.00014299132453564434
N3,200,2.0,16.238197370360428,14.75407,0.005101492296456898,0.8,0.7924401341250038,0.0001449955057608693,0.8525851957071459,0.00014522056528948435
N3,400,2.0,18.976236300785686,17.4797875,0.005707057916596306,0.8,0.7974051437812459,0.00013914035545095513,0.8476825667139254,0.0001401074591069546
N3,800,2.0,21.731438325135873,20.0785675,0.006200447180141327,0.8,0.7955443003437521,0.00014244492771322756,0.8386542915020314,0.000144503326736324
N3,1600,2.0,24.495305467625887,22.8952425,0.006767587119208211,0.8,0.8003757095214787,0.0001311008039990548,0.8380790038626185,0.00013286124701351122
N3,3200,2.0,27.26352630682967,25.687845,0.00721931634133444,0.8,0.7994600481079123,0.00014231442334845457,0.8327395800843761,0.0001450998355290742
N3,6400,2.0,30.03392930980186,28.482665,0.007800322163667486,0.8,0.8015803940781286,0.00014069784431100242,0.8314768532879656,0.00014276681994682754
N3,25,4.0,11.725104420635022,10.07582,0.003076355713975739,0.8888888888888888,0.8408497279998992,8.918905193191156e-5,0.9371638580140321,7.617491094435191e-5
N3,50,4.0,16.289248572601682,14.22858,0.0041700580250711,0.8888888888888888,0.8653003379999182,7.90995669301973e-5,0.9329921098855737,7.164324069170105e-5
N3,100,4.0,21.294823800880472,18.8607225,0.005224234769471667,0.8888888888888888,0.877048681499988,7.306423216242433e-5,0.9276426981367991,6.887630638999064e-5
N3,200,4.0,26.55592663550028,23.8225575,0.006236203883259573,0.8888888888888888,0.8833419361249982,6.89402727061003e-5,0.9230813163622814,6.649835986141264e-5
N3,400,4.0,31.955197645152268,29.052,0.007222626455509939,0.8888888888888888,0.8855111527500019,6.793527117975769e-5,0.9178296109914809,6.665926646705641e-5
N3,800,4.0,37.426413128332825,34.431635,0.008084599029561773,0.8888888888888888,0.886974993296874,6.862899807914417e-5,0.9140618570783097,6.796616430234383e-5
N3,1600,4.0,42.93435195424548,39.8596475,0.0088166300830745,0.8888888888888888,0.8886989135156242,6.425388081787934e-5,0.9119914914593578,6.387381976435976e-5
N3,3200,4.0,48.46084498067366,45.316235,0.009676375103442705,0.8888888888888888,0.8882981295424803,6.879857741182426e-5,0.9086816624852451,6.86319821005927e-5
N3,6400,4.0,53.99666385037993,50.629045,0.010266805466559396,0.8888888888888888,0.8856912097701422,6.754450041183126e-5,0.9038136375247466,6.77782521658591e-5
